Lease price;Lease prijs;Prix ??de location;Leasingpreis;Pris för leasing;Cena leasingu;Prezzo di locazione;Leiepris;Precio del alquiler
Lease term;Leasetermijn;Duré du bail;Laufzeit des Leasingvertrags;Hyrestiden;Warunki leasingu;Termine di locazione;Leieperiode;Duración del alquiler
m;m;m;M.;m;m;m;m;m
Months;Maanden;Mois;Monate;Månader;Miesiące;Mesi;Måneder;Meses
w;w;s;Wo.;w;t;s;u;w
Weeks;Weken;Semaines;Wochen;Veckor;Tygodnie;Settimane;Uker;Semanas
Years;Jaren;années;Jahre;År;Lata;Anni;År;Años
Description;Omschrijving;La description;Beschreibung;Beskrivning;Opis;Descrizione;Beskrivelse;Descripción
Unit price*;Prijs per stuk*;prix unitaire;Stückpreis*;Pris per enhet*;Cena jednostkowa*;Prezzo unitario*;Enhetspris*;Precio unitario*
Overview;Overzicht;aperçu;Übersicht;Översikt;Podgląd;Panoramica;Oversikt;Resumen
*Prices excl. VAT;*Prijzen excl. btw;* Les prix n'incluent pas la TVA;* Preise excl. MwSt;*Priserna inkluderar inte moms;*Cena nie zawiera VAT;* I prezzi non includono l'IVA;*Prisene inkluderer ikke moms;*Los precios no incluyen el IVA
*Prices incl. VAT;*Prijzen incl. btw;* Les prix incluent la TVA;* Preise inkl. MwSt;*Priserna inkluderar moms;*Cena zawiera VAT;* I prezzi includono l'IVA;*Prisene inkluderer merverdiavgift;*Los precios incluyen el IVA
day;dag;journée;Tag;dag;dzień;giorno; dag;día
mo.;mnd.;ms;Mo.;mo;mies.;mo;mnd;mo
wk.;wk.;smn;Wo.;vecka;tydz.;set;uke;wk
yr.;jr.;an;J.;år;r.;anno;År;y
Gram;Gram;Gramme;Gramm;Gram;Gram;Grammo;Gram;Gram
Kilogram;Kilogram;Kilogramme;Kilogramm;Kilogram;Kilogram;Chilogrammo;Kilogram;Kilogramo
Milligram;Milligram;Milligramme;Milligramm;Milligram;Miligram;Milligrammo;Milligram;Miligramo
Contact Info;Contact informatie;Informations de contact;Kontakt Informationen;Kontaktuppgifter;Informacje kontaktowe;Informazioni di contatto;Kontaktinformasjon;Información del contacto
Personal Info;Persoonlijke informatie;Informations personnelles;Persönliche Informationen;Personlig information;Dane osobowe;Informazioni personali;Personlig info;Información personal
Your request has been submitted!;Jouw aanvraag is verzonden!;Votre demande a été envoyée !;Ihre Anfrage wurde gesendet!;Din förfrågan har skickats!;Twoje zapytanie zostało wysłane!;La tua richiesta è stata inviata!;Din forespørsel er sendt!;Su solicitud ha sido enviada.
Download Pdf;Download Pdf;Télécharger le fichier PDF;PDF herunterladen;Ladda ner Pdf;Pobierz plik PDF;Scarica Pdf;Last ned PDF;Descargar Pdf
Email Pdf;Email Pdf;Email le fichier PDF;E-Mail PDF;E-post Pdf;Wyślij email z Pdf;Invia Pdf tramite email;Send PDF på e-post;Correo electrónico Pdf
Email;Email;Email;E-Mail;E-post;Email;Email;E-post;Correo electrónico
Add configuration;Extra configuratie toevoegen;Ajouter une configuration;Konfiguration hinzufügen;Lägg till konfiguration;Dodaj konfigurację;Aggiungi configurazione;Legg til konfigurasjon;Agregar configuración
Add to quotation;Toevoegen aan offerte;Ajouter au devis;Zum Angebot hinzufügen;Lägg till i offert;Dodaj do oferty;Aggiungi al preventivo;Legg til i tilbud;Agregar a la cotización
Additional options;Toegevoegde opties;Options additionnelles;Zusatzoptionen;Ytterligare alternativ;Dodatkowe opcje;Opzioni aggiuntive;Flere alternativer;Opciones adicionales
Base price;Basisprijs;Prix de base;Grundpreis;Grundpris;Cena podstawowa;Prezzo di base;Grunnpris;Precio base
Total price;Totaal;Prix total;Gesamtpreis;Totalt pris;Cena całkowita;Prezzo totale;Totalpris;Precio total
Unit price;Stuk prijs;Prix unitaire;Stückpreis;Pris per enhet;Cena jednostkowa;Prezzo unitario;Enhetspris;Precio unitario
Company name;Bedrijfsnaam;Nom de la compagnie;Name des Unternehmens;Företagets namn;Nazwa firmy;Nome dell'azienda;Firmanavn;Nombre de empresa
Name prefix;Tussenvoegsel;Nom de famille;Namenspräfix;Efternamn Prefix;Prefiks nazwiska;Prefisso del cognome;Prefiks for etternavn;Apellido Prefijo
Search;Zoeken;Chercher;Suchen;Sök;Szukaj;Cerca;Søk;Búsqueda
To continue you need to make a choice for the following:;Om verder te gaan, moet je een keuze maken voor het volgende:;Pour continuer, vous devez faire un choix pour ce qui suit:;Um fortzufahren, müssen Sie eine der folgenden Optionen auswählen:;För att kunna fortsätta måste du göra ett val för följande:;Aby kontynuować, musisz dokonać wyboru dla następujących elementów:;Per continuare è necessario effettuare una scelta per quanto segue:;For å fortsette må du velge følgende:;Para continuar debe elegir lo siguiente:
Please complete all required fields;Vul alle verplichte velden in;Exigences non répondues;Bitte füllen Sie alle Pflichtfelder aus;obesvarade uppdrag;Obowiązkowe zlecenia bez odpowiedzi;Obblighi non risolti;Ubesvarte obligatoriske felt;Mandatos sin respuesta
Resume configuration;Configuratie hervatten;reprendre la configuration;Konfiguration fortsetzen;Konfigurering av CV;Wznów konfigurację;Riprendi la configurazione;Fortsett konfigurasjonen;Reanudar la configuración
Country;Land;Pays;Land;Land;Kraj;Nazione;Land;País
Street;Straat;Rue;Straße;Gata;Ulica;Via;Gate;Calle
Logout;Uitloggen;Connectez - Out;Abmelden;Logga ut;Wyloguj;Logout;Logout;Cerrar sesión
Next;Volgende;Prochain;Weiter;Nästa;Dalej;Avanti;Neste;Próximo
Previous;Vorige;Précédent;Zurück;Föregående;Poprzednio;Indietro;Forrige;Anterior
Title;Aanhef;Salutation;Anrede;Hälsning;Zwrot grzecznościowy;Saluto;Hilsen;Saludo
Send;Versturen;Envoyer;Abschicken;Skicka;Wyślij;Invia;Send;Enviar
Switch Configuration;Configuratie wijzigen;choisir la configuration;Konfiguration wechseln;Konfigurering av växlar;Przełącz konfigurację;Cambia configurazione;Bytt konfigurasjon;Configuración del interruptor
Different shipping address;Ander verzendadres;Adresse de livraison différente;Andere Lieferadresse;Annan leveransadress;Inny adres wysyłki;Indirizzo di spedizione diverso;Annen leveringsadresse;Dirección de envío diferente
Shipping address;Verzendadres;Adresse de livraison;Lieferadresse;Leveransadress;Adres wysyłki;Indirizzo di spedizione;Leveringsadresse;Dirección de envío
Adjustment required;Aanpassing vereist;Ajustement requis;Änderung erforderlich;Anpassning krävs;Wymagane dostosowanie;Modifica richiesta;Krever justering;Ajuste requerido
requires the following to be removed;vereist de volgende elementen te verwijderen;Il faut retirer les éléments suivants;erfordert, dass folgendes entfernt werden muss.;Kräver att följande tas bort;Wymaga usunięcia następujących elementów;Richiede la rimozione dei seguenti elementi;Krever at følgende fjernes:;Requiere que se elimine lo siguiente
The feature;De feature;La sélection de la fonctionnalité;Das Feature;Valet av funktion;Wybór elementów;La selezione della caratteristica;Utvalget av funksjon;La selección de características
Conflicting values;Conflicterende waarden;Des valeurs contradictoires;Wertkonflikte;Motstridiga värden;Sprzeczne wartości;Valori in conflitto;Motstridende verdier;Valores en conflicto
requested value of;gevraagde waarde van;valeur demandée de;angeforderter Wert von;Begärt värde för;żadana wartość;valore richiesto di;forespurt verdi av;valor solicitado de
will be;zal zijn;sera;wird sein;kommer att vara;będzie;sarà;vil være;será
Requires adjustment of values;Vereist aanpassing van waarden;Nécessite un ajustement des valeurs;Erfordert eine Änderung der Werte;Kräver justering av värden;Wymaga korekty wartości;Richiede la regolazione dei valori;Krever justering av verdier;Requiere ajuste de valores
Cancel;Annuleren;Annuler;Abbrechen;Avbryt;Anuluj;Cancella;Annullere;Cancelar
Complete;Afronden;Complet;Abschließen;Slutför;Skończ;Completa;Fullføre;Complete
Select CRM account;Selecteer CRM account;Compte Selecteer CRM;CRM Account wählen;Välj CRM-konto;Wybierz konto CRM;Seleziona account CRM;Velg CRM-konto;Seleccionar cuenta CRM
New CRM account;Nieuw CRM account;Nouveau compte CRM;Neuer CRM Account;Nytt CRM-konto;Nowe konto CRM;Nuovo account CRM;Ny CRM-konto;Nuevo presupuesto creado
Full name (default);Volledige naam (default);Nom complet (par défaut);Vollständiger Name (standard);Fullständigt namn (standard);Imię i nazwisko (domyślnie);Nome completo (predefinito);Fullt navn (standard);Nombre completo (predeterminado)
Address line;Adres;Adresse;Adresse;Adressrad;Linia adresowa;Linea dell'indirizzo;Adresselinje;Dirección
Primary phone;Telefoon;Téléphone;Telefon;Primär telefon;Telefon główny;Telefono principale;Primær telefon;Teléfono Principal
Relationship type;Relatie soort;Type de relation;Art der Beziehung;Typ av relation;Typ relacji;Tipo di relazione;Type relasjon;Tipo de relación
Edit;Aanpassen;Ajuster;Ändern;Redigera;Edytuj;Modifica;Redigere;Editar
Save;Opslaan;Sauvez;Speichern;Spara;Zapisz;Salva;Lagre;Ahorrar
Customer;Klant;Client;Kunde;Kund;Klient;Cliente;Kunde;Cliente
Change customer;Klant wijzigen;Changer de client;Kunde ändern;Ändra kund;Zmień klienta;Cambia cliente;Endre kunde;Cambiar de cliente
Delivery;Levering;Livraison;Lieferung;Leverans;Dostawa;Consegna;Levering;Entrega
Ship to customer;Verzenden naar klant;Livraison au client;Lieferung an den Kunden;Skicka till kunden;Wyślij do klienta;Spedisci al cliente;Send til kunde;Enviar al cliente
Change shipping address;Wijzig verzendingsadres;Modifier l'adresse de livraison;Lieferadresse ändern;Ändra leveransadress;Znień adres dostawy;Cambia indirizzo di spedizione;Endre leveringsadresse;Cambiar la dirección de envío
Business Info;Zakelijke informatie;Informations commerciales;Geschäftsinformationen;Information om företaget;Informacje o firmie;Informazioni aziendali;Informasjon om bedriften;Información del negocio
IBAN;IBAN;IBAN;IBAN;IBAN;IBAN;IBAN;IBAN;IBAN
CoC number;KvK nummer;Numéro de la Chambre de commerce;Handelskammer Nummer;CoC-nummer;Numer REGON;Numero CoC;CoC-nummer;número de CC
VAT number;Btw nummer;Numéro de TVA;Umsatzsteuer Identifikationsnummer (USt-ID);Momsnummer;Numer VAT;Numero IVA;MVA-nummer;Número de IVA
Total;Totaal;Total;Gesamt;Totalt;Razem;Totale;Totalt;Total
Enter configuration code;Voer configuratie code in;Entrez le code de configuration;Konfigurationscode eingeben;Ange konfigurationskod;Wprowadź kod konfiguracji;Inserisci il codice di configurazione;Angi konfigurasjonskode;Introduzca el código de configuración
Required fields must be filled in!;Verplichte velden moeten worden ingevuld!;Les champs obligatoires doivent Ãªtre remplis !;Pflichtfelder müssen ausgefüllt werden!;De obligatoriska fälten måste fyllas i!;Wymagane pola muszą być uzupełnione!;I campi obbligatori devono essere compilati!;De obligatoriske feltene må fylles ut!;Es obligatorio rellenar los campos obligatorios.
Create quote;Offerte aanmaken;Création d'un devis;Angebot erstellen;Skapa offert;Stwórz ofertę;Crea preventivo;Opprett tilbud;Crear cotización
Checkout;Checkout;Caisse;Checkout;Kassan;Kasa;Pagamento;Gå til kasse;Verificar
New quotation created;Nieuwe offerte aangemaakt;Création d'un nouveau devis;Neues Angebot erstellt;Ny offert skapad;Nowa oferta stworzona;Nuovo preventivo creato;Nytt tilbud opprettet;Nuevo presupuesto creado
Create new quotation;Maak nieuwe offerte aan;Créer une nouvelle offre;Neues Angebot erstellen;Skapa en ny offert;Stwórz nową ofertę;Crea nuovo preventivo;Opprett nytt tilbud;Crear nueva cotización
Yes;Ja;Oui;Ja;Ja;Tak;Sì;Ja;Sí
No;Nee;Non;Nein;Nej;Nie;No;Nei;No
Are you sure?;Weet je het zeker?;Vous êtes sûr ?;Sind Sie sicher?;Är du säker?;Czy jesteś pewny/a?;Sei sicuro?;Er du sikker?;¿Seguro?
Leaving this page may cause you to lose your configuration. Are you sure you want to leave this page?;Het verlaten van deze pagina kan leiden tot verlies van je configuratie. Weet je zeker dat je de pagina wilt verlaten?;En quittant cette page, vous risquez de perdre votre configuration. Vous êtes sûr de vouloir quitter la page ?;Wenn Sie diese Seite verlassen, könnte Ihre Konfiguration verloren gehen. Möchten Sie die Seite wirklich verlassen?;Om du lämnar den här sidan kan du förlora din konfiguration. Är du säker på att du vill lämna den här sidan?;;Lasciare questa pagina potrebbe comportare la perdita della configurazione. Sei sicuro di voler lasciare questa pagina?;Hvis du forlater denne siden, kan det føre til at du mister konfigurasjonen. Er du sikker på at du vil forlate denne siden?;Si abandona esta página puede perder su configuración. Está seguro de que desea salir de esta página?
Invalid email;Ongeldig emailadres;Adresse électronique erronée;Ungültige E-Mail Adresse;Felaktigt e-postmeddelande;Nieprawidłowy adres email;Email non valida;Ugyldig e-post;Correo electrónico no válido
This field is required;Dit invoerveld is verplicht;Ce champ de saisie est obligatoire;Dieses Feld ist erforderlich;Det här fältet är obligatoriskt;To pole jest wymagane;Questo campo è obbligatorio;Dette feltet er obligatorisk;Este campo es obligatorio
Copy configuration;Configuratie kopiëren;Copier la configuration;Konfiguration kopieren;Kopiera konfigurationen;Kopiuj konfigurację;Copia configurazione;Kopier konfigurasjon;Copiar configuracion
Would you like to copy this configuration?;Wil je de configuratie kopiëren?;Voulez-vous copier cette configuration ?;Wollen Sie diese Konfiguration kopieren?;Vill du kopiera den här konfigurationen?;Czy chcesz skopiować konfigurację?;Vuoi copiare questa configurazione?; Vil du kopiere denne konfigurasjonen?;¿Desea copiar esta configuración?
Copy;Kopieer;Copie;kopieren;Kopiera;Kopiuj;Copia;Kopi;Copiar
Delete configuration;Verwijder configuratie;Supprimer la configuration;Konfiguration löschen;Radera konfiguration;Usuń konfigurację;Elimina configurazione;Slett konfigurasjon;Eliminar configuración
Are you sure you want to delete this configuration?;Weet je zeker dat je deze configuratie wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette configuration ?;Sind Sie sicher, dass Sie diese Konfiguration löschen möchten?;Är du säker på att du vill radera den här konfigurationen?;Czy na pewno chcesz usunąć tę konfigurację?;Sei sicuro di voler eliminare questa configurazione?;Er du sikker på at du vil slette denne konfigurasjonen?;¿Está seguro de que desea eliminar esta configuración?
Save configuration code;Bewaar configuratie code;Sauvegarder le code de configuration;Bewahren Sie den Konfigurationscode;Spara konfigurationskod;Zapisz kod konfiguracji;Salva il codice di configurazione;Lagre konfigurasjonskode;Guardar código de configuración
With this code, you can reopen your configuration at any time. You can also share it with friends, co-workers, or send it to a dealer.;Met gebruik van deze code is het mogelijk om jouw configuratie altijd te openen, deel dit met je vrienden of collega's of verstuur de code naar een dealer.;Grâce à ce code, il est possible d'ouvrir votre configuration à tout moment, de la partager avec vos amis ou collègues ou d'envoyer le code à un revendeur.;Mit diesem Code können Sie Ihre Konfiguration jederzeit wieder öffnen. Sie können den Code auch an Freunde oder Kollegen weitergeben oder ihn an einen Händler schicken.;Med den här koden kan du öppna konfigurationen igen när som helst, dela den med vänner eller kollegor eller skicka den till en återförsäljare.;Za pomocą tego kodu możesz w dowolnym momencie ponownie otworzyć konfigurację, udostępnić ją znajomym lub współpracownikom lub wysłać do sprzedawcy.;Utilizzando questo codice, puoi riaprire la tua configurazione in qualsiasi momento, condividerla con amici o colleghi o inviarla a un rivenditore.;Med denne koden kan du når som helst åpne konfigurasjonen på nytt, dele den med venner eller kolleger eller sende den til en forhandler.;Con este código puedes reabrir tu configuración en cualquier momento, compartirla con amigos o compañeros de trabajo o enviarla a un distribuidor.
Copy link;Link kopiëren;Copier le lien;Link kopieren;Kopiera länk;Kopiuj link;Copia link;Kopier kobling;Copiar enlace
Language;Taal;Langue;Sprache;Språk;Język;Lingua;Språk;Idioma
Name;Naam;;Name;;;Nome;Navn;Nombre
Code;Code;;Code;;;Codice;Kode;Código
Reference;Referentie;;Referenz;;;Riferimento;Referanse;Referencia
Price;Prijs;;Preis;;;Prezzo;Pris;Precio
Image;Afbeelding;;Abbildung;;;Immagine;Bilde;Imagen
ADD;TOEVOEGEN;AJOUTER;HINZUFÜGEN;;;AGGIUNGI;LEGG TIL;Agregar
REMOVE;VERWIJDEREN;ÉLIMINER;LÖSCHEN;;;RIMUOVI;FJERN;Eliminar
This configuration is not possible. Your last change could not be saved.;Deze configuratie is niet mogelijk. Je laatste wijziging kon niet worden opgeslagen.;Cette configuration n'est pas possible. Votre dernière modification n'a pas pu être enregistrée.;Diese Konfiguration ist nicht möglich. Ihre letzte Änderung konnte nicht gespeichert werden.;;;Questa configurazione non è possibile. L'ultima modifica non è stata salvata.;Denne konfigurasjonen er ikke mulig. Den siste endringen kunne ikke lagres.;Esta configuración no es posible. No se ha podido guardar el último cambio.
An error occurred;Er is een fout opgetreden;Une erreur s'est produite;Es ist ein Fehler aufgetreten;;;Si è verificato un errore;Det oppstod en feil;Ha ocurrido un error
d.;D.;;T.;;;;;
;;;Divers;;;;;
Prices do not include VAT;Prijzen zijn exclusief btw;Les prix n'incluent pas la TVA;Preise verstehen sich ohne MwSt.;Priserna inkluderar inte moms;Ceny nie zawierają VAT;Priser inkluderer ikke merverdiavgift;Los precios no incluyen IVA;I prezzi non includono l'IVA
*Prices do not include VAT;*Prijzen zijn exclusief btw;*Les prix n'incluent pas la TVA;*Preise verstehen sich ohne MwSt.;*Priserna inkluderar inte moms;*Ceny nie zawierają VAT;*Priser inkluderer ikke merverdiavgift;*Los precios no incluyen IVA;*I prezzi non includono l'IVA
Because;Omdat;Parceque;Weil;Eftersom;Ponieważ;Perché;Fordi;Porque
is;is;est;ist;är;jest;è;er;es
selected;geselecteerd;sélectionné;ausgewählt;vald;wybrany;selezionato;valgt;seleccionado
deselected;gedeselecteerd;désélectionné;abgewählt;avmarkerad;odznaczony;deselezionato;fravalgt;deseleccionado
changed;gewijzigd;changé;geändert;ändrad;zmieniony;cambiato;endret;cambiado
Select an alternative for;Selecteer een alternatief voor;Sélectionnez une alternative pour;Wählen Sie eine Alternative für;Välj ett alternativ för;Wybierz alternatywę dla;Seleziona una alternativa per;Velg et alternativ for;Seleccione una alternativa para
is conflicting with the new requirements.;is in strijd met de nieuwe vereisten.;est en conflit avec les nouvelles exigences.;steht im Widerspruch zu den neuen Anforderungen.;strider mot de nya kraven.;jest w konflikcie z nowymi wymaganiami.;è in conflitto con i nuovi requisiti.;er i konflikt med de nye kravene.;está en conflicto con los nuevos requisitos.
Update configuration;Configuratie bijwerken;Mettre à jour la configuration;Konfiguration aktualisieren;Uppdatera konfiguration;Zaktualizuj konfigurację;Aggiorna configurazione;Oppdater konfigurasjon;Actualizar configuración
changed to;gewijzigd in;changé en;geändert zu;ändrad till;zmieniono na;cambiato in;endret til;cambiado a
Back to configuration model;Terug naar configuratiemodel;Retour au modèle de configuration;Zurück zum Konfigurationsmodell;Tillbaka till konfigurationsmodell;Powrót do modelu konfiguracji;Torna al modello di configurazione;Tilbake til konfigurasjonsmodell;Volver al modelo de configuración
Configuration is no longer possible;Configuratie is niet langer mogelijk;La configuration n'est plus possible;Konfiguration ist nicht mehr möglich;Konfigurationen är inte längre möjlig;Konfiguracja nie jest dłużej możliwa;Configurazione non più possibile;Konfigurasjon er ikke lenger mulig;La configuración ya no es posible
The following will be added;Het volgende wordt toegevoegd;Les éléments suivants seront ajoutés;Folgendes wird hinzugefügt:;Följande ska läggas till;Zostaną dodane następujące elementy;Verrà aggiunto quanto segue;Følgende vil bli lagt til;Se agregará lo siguiente
the following features have to be removed;moeten de volgende functies worden verwijderd;les fonctionnalités suivantes doivent être supprimées;die folgenden Funktionen müssen entfernt werden;följande funktioner måste tas bort;następujące funkcje muszą zostać usunięte;le seguenti funzionalità devono essere rimosse;følgende funksjoner må fjernes;las siguientes características deben ser eliminadas
is not possible for;niet mogelijk is voor;n'est pas possible pour;ist nicht möglich für;inte är möjligt för;nie jest możliwa dla;non è possibile per;ikke er mulig for;no es posible para
it will be reset to;het zal worden teruggezet naar;il sera réinitialisé à;es wird zurückgesetzt auf;det kommer att återställas till;zostanie zresetowane do;sarà reimpostato su;Det vil bli tilbakestilt til;se restablecerá a
The rules for this configuration have changed.;De regels van deze configuratie zijn veranderd.;Les règles pour cette configuration ont changé.;Die Vorgaben für diese Konfiguration haben sich geändert.;Reglerna för den här konfigurationen har ändrats.;Zasady tej konfiguracji uległy zmianie.;Le regole per questa configurazione sono cambiate.;Reglene for denne konfigurasjonen er endret.;Las reglas para esta configuración han cambiado.
To open this configuration, the following has to be removed:;Om deze configuratie te openen, moet het volgende worden verwijderd:;Pour ouvrir cette configuration, les éléments suivants doivent être supprimés :;Um diese Konfiguration zu öffnen, muss Folgendes entfernt werden:;För att öppna den här konfigurationen måste följande tas bort:;Aby otworzyć tę konfigurację, należy usunąć:;Per aprire questa configurazione, deve essere rimossa quanto segue:;Hvis du vil ?e denne konfigurasjonen, m?ølgende fjernes:;Para abrir esta configuración, se debe eliminar lo siguiente:
The value of;De waarde van;La valeur de;Der Wert von;Det värdet av;Wartość;Il valore di;Verdien av;El valor de
will be set from;wordt ingesteld vanaf;sera définie à partir de;wird eingestellt von;kommer att sättas från;zostanie ustawione od;sarà impostato da;vil bli satt fra;se establecerá desde
to;naar;à;bis;till;do;a;til;a
Everything mentioned above;Alles wat hierboven is genoemd;Tout ce qui est mentionné ci-dessus;Alles oben genannte;Allt som nämns ovan;Wszystko wymienione powyżej;Tutto quanto sopra menzionato;Alt nevnt ovenfor;Todo lo mencionado anteriormente
removed;verwijderd;retiré;aus der Konfiguration;bort;usunięte;rimosso;Fjernet;remoto
from the configuration. (This cannot be undone.);van de configuratie (dit kan niet worden teruggedraaid).;de la configuration. (Ceci ne peut pas être annulé).;entfernt (dies kann nicht rückgängig gemacht werden).;från konfigurationen. (Detta kan inte göras ogjort.);z konfiguracji. (Tego nie można cofnąć).;dalla configurazione. (Ciò non può essere annullato.);fra konfigurasjonen. (Dette kan ikke angres.);de la configuración. (Esto no se puede deshacer.)
Do you want to continue?;Wil je doorgaan?;Voulez-vous continuer ?;Wollen Sie fortfahren?;Vill du fortsätta?;Czy chcesz kontynuować?;Vuoi continuare?;Vil du fortsette?;¿Quieres continuar?
The configuration model has changed. To open this configuration, the following value(s) will change:;Het configuratiemodel is gewijzigd. Om deze configuratie te openen, moeten de volgende aanpassingen worden gemaakt:;Le modèle de configuration a changé. Pour ouvrir cette configuration, les valeurs suivantes doivent être modifiées :;Das Konfigurationsmodell wurde geändert. Um diese Konfiguration zu öffnen, werden die folgenden Anpassungen vorgenommen:;Konfigurationsmodellen har ändrats. För att öppna den här konfigurationen måste följande värde(n) ändras:;Zmienił się model konfiguracji. Aby otworzyć tę konfigurację, zmienią się następujące wartości:;Il modello di configurazione è cambiato. Per aprire questa configurazione, cambieranno i seguenti valori:;Konfigurasjonsmodellen er endret. Hvis du vil ?e denne konfigurasjonen, endres følgende verdi(er):;El modelo de configuración ha cambiado. Para abrir esta configuración, los siguientes valores cambiarán:
Contact your admin for more information.;Neem contact op met je admin voor meer informatie.;Contactez votre administrateur pour plus d'informations.;Für weitere Informationen wenden Sie sich bitte an den Administrator.;Kontakta din administratör för mer information.;Aby uzyskać więcej informacji, skontaktuj się z administratorem.;Contatta il tuo amministratore per ulteriori informazioni.;Kontakt administratoren for mer informasjon.;Póngase en contacto con su administrador para obtener más información.
Select;Selecteren;Sélectionnez;Auswählen;Välj;Wybierz;Seleziona;Velg;Seleccionar
